 0e0 # 1.085854e-08          # dimensionless surface pressure
      1001             # radial resolution
# r  rho
3.445150500001241e+10  1.848149103179927e+00
3.452110400001243e+10  1.827840026190448e+00
3.459070300001246e+10  1.807739637139219e+00
3.466030200001248e+10  1.787845908800129e+00
3.472990100001251e+10  1.768156832182191e+00
3.479950000001254e+10  1.748670416394032e+00
3.486909900001257e+10  1.729384688508763e+00
3.493869800001259e+10  1.710297693429234e+00
3.500829700001261e+10  1.691407493753718e+00
3.507789600001264e+10  1.672712169641997e+00
3.514749500001267e+10  1.654209818681905e+00
3.521709400001269e+10  1.635898555756305e+00
3.528669300001272e+10  1.617776512910542e+00
3.535629200001274e+10  1.599841839220358e+00
3.542589100001276e+10  1.582092700660304e+00
3.549549000001279e+10  1.564527279972640e+00
3.556508900001282e+10  1.547143776536756e+00
3.563468800001285e+10  1.529940406239091e+00
3.570428700001287e+10  1.512915401343608e+00
3.577388600001289e+10  1.496067010362780e+00
3.584348500001293e+10  1.479393497929150e+00
3.591308400001296e+10  1.462893144667424e+00
3.598268300001298e+10  1.446564247067148e+00
3.605228200001301e+10  1.430405117355947e+00
3.612188100001303e+10  1.414414083373356e+00
3.619148000001305e+10  1.398589488445230e+00
3.626107900001308e+10  1.382929691258759e+00
3.633067800001311e+10  1.367433065738086e+00
3.640027700001314e+10  1.352098000920531e+00
3.646987600001316e+10  1.336922900833437e+00
3.653947500001318e+10  1.321906184371636e+00
3.660907400001321e+10  1.307046285175550e+00
3.667867300001324e+10  1.292341651509917e+00
3.674827200001326e+10  1.277790746143170e+00
3.681787100001329e+10  1.263392046227445e+00
3.688747000001331e+10  1.249144043179258e+00
3.695706900001334e+10  1.235045242560820e+00
3.702666800001337e+10  1.221094163962019e+00
3.709626700001339e+10  1.207289340883063e+00
3.716586600001343e+10  1.193629320617793e+00
3.723546500001345e+10  1.180112664137658e+00
3.730506400001347e+10  1.166737945976374e+00
3.737466300001350e+10  1.153503754115251e+00
3.744426200001353e+10  1.140408689869206e+00
3.751386100001355e+10  1.127451367773454e+00
3.758346000001358e+10  1.114630415470888e+00
3.765305900001360e+10  1.101944473600141e+00
3.772265800001363e+10  1.089392195684342e+00
3.779225700001366e+10  1.076972248020562e+00
3.786185600001368e+10  1.064683309569954e+00
3.793145500001371e+10  1.052524071848582e+00
3.800105400001373e+10  1.040493238818955e+00
3.807065300001376e+10  1.028589526782251e+00
3.814025200001379e+10  1.016811664271242e+00
3.820985100001381e+10  1.005158391943920e+00
3.827945000001383e+10  9.936284624778172e-01
3.834904900001386e+10  9.822206404650352e-01
3.841864800001389e+10  9.709337023079657e-01
3.848824700001391e+10  9.597664361157194e-01
3.855784600001395e+10  9.487176416012529e-01
3.862744500001397e+10  9.377861299791982e-01
3.869704400001400e+10  9.269707238643927e-01
3.876664300001402e+10  9.162702571711104e-01
3.883624200001405e+10  9.056835750129929e-01
3.890584100001408e+10  8.952095336036822e-01
3.897544000001410e+10  8.848470001581507e-01
3.904503900001412e+10  8.745948527947304e-01
3.911463800001415e+10  8.644519804378424e-01
3.918423700001418e+10  8.544172827214190e-01
3.925383600001420e+10  8.444896698930233e-01
3.932343500001423e+10  8.346680627186647e-01
3.939303400001425e+10  8.249513923883053e-01
3.946263300001428e+10  8.153386004220599e-01
3.953223200001431e+10  8.058286385770848e-01
3.960183100001433e+10  7.964204687551566e-01
3.967143000001436e+10  7.871130629109377e-01
3.974102900001438e+10  7.779054029609260e-01
3.981062800001440e+10  7.687964806930900e-01
3.988022700001444e+10  7.597852976771840e-01
3.994982600001447e+10  7.508708651757436e-01
4.001942500001449e+10  7.420522040557590e-01
4.008902400001452e+10  7.333283447010223e-01
4.015862300001454e+10  7.246983269251490e-01
4.022822200001457e+10  7.161611998852713e-01
4.029782100001460e+10  7.077160219963973e-01
4.036742000001462e+10  6.993618608464384e-01
4.043701900001463e+10  6.910977931119001e-01
4.050661800001466e+10  6.829229044742325e-01
4.057621700001468e+10  6.748362895368420e-01
4.064581600001470e+10  6.668370517427556e-01
4.071541500001473e+10  6.589243032929406e-01
4.078501400001474e+10  6.510971650652739e-01
4.085461300001476e+10  6.433547665341588e-01
4.092421200001479e+10  6.356962456907873e-01
4.099381100001481e+10  6.281207489640435e-01
4.106341000001482e+10  6.206274311420457e-01
4.113300900001485e+10  6.132154552943254e-01
4.120260800001487e+10  6.058839926946386e-01
4.127220700001489e+10  5.986322227444065e-01
4.134180600001492e+10  5.914593328967847e-01
4.141140500001493e+10  5.843645185813531e-01
4.148100400001496e+10  5.773469831294298e-01
4.155060300001498e+10  5.704059376999998e-01
4.162020200001501e+10  5.635406012062578e-01
4.168980100001503e+10  5.567502002427637e-01
4.175940000001505e+10  5.500339690132031e-01
4.182899900001507e+10  5.433911492587546e-01
4.189859800001509e+10  5.368209901870554e-01
4.196819700001511e+10  5.303227484017667e-01
4.203779600001513e+10  5.238956878327319e-01
4.210739500001515e+10  5.175390796667251e-01
4.217699400001518e+10  5.112522022787894e-01
4.224659300001520e+10  5.050343411641559e-01
4.231619200001522e+10  4.988847888707457e-01
4.238579100001524e+10  4.928028449322469e-01
4.245539000001526e+10  4.867878158017669e-01
4.252498900001528e+10  4.808390147860532e-01
4.259458800001531e+10  4.749557619802818e-01
4.266418700001532e+10  4.691373842034081e-01
4.273378600001534e+10  4.633832149340770e-01
4.280338500001537e+10  4.576925942470888e-01
4.287298400001539e+10  4.520648687504184e-01
4.294258300001541e+10  4.464993915227828e-01
4.301218200001543e+10  4.409955220517531e-01
4.308178100001546e+10  4.355526261724088e-01
4.315138000001548e+10  4.301700760065310e-01
4.322097900001550e+10  4.248472499023279e-01
4.329057800001553e+10  4.195835323746938e-01
4.336017700001554e+10  4.143783140459941e-01
4.342977600001556e+10  4.092309915873738e-01
4.349937500001559e+10  4.041409676605862e-01
